giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien
2200000,25.0,21.0305962,105.7862149,nhatang,3.64,106.45,khepkin,4,6
4099999,33.0,21.037662,105.809642,nhatang,6.56,5.2,khepkin,7,7
3000000,35.0,21.034259,105.811035,nhatang,3.32,89.55,khepkin,4,3
1500000,17.0,21.036919,105.811089,nhatang,3.3,104.8,khepkin,4,3
2000000,15.0,21.036942,105.817049,nhatang,3.5,82.11,khepkin,6,7
1900000,15.0,21.036942,105.817049,nhatang,3.4,120.11,khepkin,4,7
1500000,12.0,21.037629,105.824746,nhatang,3.1,72.68,kkk,6,3
1700000,18.0,21.037081,105.812409,nhatang,3.3,236.69,kkk,7,6
2600000,30.0,21.037416,105.813743,nhatang,2.8,50.69,kkk,7,6
1800000,15.0,21.036942,105.817049,nhatang,2.7,120.11,khepkin,4,7
1200000,12.0,21.037695,105.811708,nhatang,6.5,13.23,khepkin,3,6
1800000,21.0,21.035096,105.822761,nhatang,3.24,30.02,khepkin,7,5
2000000,14.0,21.004622,105.850164,nhatang,4.3,32.2,khepkin,8,8
3500000,20.0,21.035055,105.824365,nhatang,6.56,5.02,khepkin,6,8
