nam,thang,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe
2021,3,5000000,35.0,21.010324,105.777446,Ccmn,4.8,50.0,Khepkin,1,1,1,1,1,1,0,1,0,1,0,1
2021,4,3300000,28.0,20.994409,105.776969,Ccmn,5.4,49.7,Khepkin,1,1,1,1,0,0,0,1,0,0,0,1
2021,3,2800000,30.0,20.999623,105.824757,Nhatang,3.0,40.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2021,3,2900000,30.0,20.999623,105.824757,Nhatang,3.7,40.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2021,4,3500000,30.0,20.995139,105.816691,Nhatang,5.0,70.0,Khepkin,0,0,1,1,0,0,0,1,0,0,0,1
2021,4,2500000,15.0,21.020601,105.828399,Nhatang,3.5,50.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,0
2021,4,2300000,28.0,20.994409,105.776969,Ccmn,2.5,153.8,Khepkin,1,1,1,1,0,0,0,1,0,0,0,1
2021,4,2500000,14.0,20.977846,105.798198,Nhatang,3.5,30.0,Khepkin,1,1,1,1,0,1,0,0,0,0,0,1
2021,3,3600000,30.0,21.03511,105.799681,Ccmn,3.8,50.0,Khepkin,1,0,1,1,0,0,0,1,1,0,1,1
2021,3,2800000,30.0,20.999623,105.824757,Nhatang,3.7,30.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2021,4,2000000,15.0,20.984757,105.876218,Nhatang,3.0,84.0,KKK,0,0,0,0,0,0,0,0,0,0,0,1
2021,3,3500000,27.0,21.078894,105.816791,Nhatang,3.9,40.0,Khepkin,1,1,1,0,1,0,0,0,0,1,0,1
2021,3,2300000,23.0,20.964932,105.767329,Nhatang,5.2,43.2,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2021,3,3100000,35.0,20.998955,105.824653,Nhatang,4.0,50.0,Khepkin,0,0,1,1,0,0,0,0,0,0,1,1
2021,3,2700000,25.0,21.0713783,105.7953947,Nhatang,3.3,105.12,Khepkin,0,0,1,1,0,0,0,0,0,0,0,1
2020,12,3500000,25.0,21.01635,105.8048,Nhatang,2.7,51.9,Khepkin,0,0,1,1,0,0,0,1,0,0,0,0
2021,3,2700000,15.0,21.050267,105.790952,Nhatang,6.3,40.0,Khepkin,1,0,1,1,0,0,0,0,0,0,0,0
2020,12,2400000,25.5,21.051109,105.79055,Nhatang,5.6,85.0,Khepkin,1,1,1,1,1,1,0,1,0,0,0,0
2021,1,900000,14.0,21.0538868,105.7876175,Nhacap,3.2,120.0,KKK,1,0,0,0,0,0,0,0,0,0,0,1
2020,10,4200000,42.0,21.053614,105.788117,Nhatang,7.8,5.0,Khepkin,0,1,0,0,0,0,0,1,1,0,0,0
2020,10,4100000,42.0,21.053614,105.788117,Nhatang,7.8,79.31,Khepkin,0,0,0,0,0,0,0,0,1,0,0,0
2021,4,2900000,26.0,20.985098,105.797481,Nhatang,2.5,135.0,Khepkin,1,1,0,0,0,0,0,0,0,0,0,1
2021,4,3300000,20.0,21.010093,105.795282,Ccmn,3.5,68.0,Khepkin,1,1,1,1,1,1,1,1,0,0,1,1
2021,4,3500000,30.0,20.996703,105.82233,Ccmn,4.5,100.0,Khepkin,1,0,0,1,0,0,0,0,0,0,1,1
2021,4,2900000,30.0,20.996671,105.823269,Nhatang,3.0,111.0,KKK,1,1,0,0,0,0,0,0,0,0,0,1
2021,4,1300000,20.0,21.03651,105.799811,Nhacap,2.2,130.0,KKK,1,0,0,0,0,0,0,0,0,0,0,1
2021,4,4800000,34.0,21.010455,105.777651,Nhatang,3.0,60.0,Khepkin,1,1,0,1,1,1,0,0,0,1,0,1
2021,4,2700000,19.0,20.98768,105.816845,Nhatang,4.2,320.0,Khepkin,1,1,1,1,1,1,0,0,0,0,1,1
2021,4,3200000,27.0,21.030456,105.77272,Nhatang,2.5,123.0,Khepkin,1,0,0,1,1,0,0,0,0,0,0,1
2021,4,2200000,26.0,20.984835,105.796658,Nhacap,2.5,209.0,Khepkin,1,0,0,0,0,0,0,0,0,0,0,1
2021,4,4000000,35.0,21.036778,105.799709,Nhatang,2.2,152.0,Khepkin,1,1,0,1,0,1,0,1,0,0,1,1
2021,4,3100000,20.0,21.010362,105.795168,Nhatang,4.0,27.0,Khepkin,1,1,1,1,1,0,0,1,0,0,1,1
2021,4,2900000,27.0,21.03069,105.772269,Nhacap,2.5,190.0,Khepkin,1,0,0,1,0,0,0,0,0,0,0,1
